population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std
CD11b-/CD16-,pSTAT5,GM-CSF,55.942737102508545,289.0940157693636,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,31.194871895800166
CD16+/CD11b+,pSTAT1,IFNg,35.15827941894531,369.3510964723371,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,50.6357511608001
CD11b-/CD16-,pErk1/2,PMAIono,20.150405883789062,291.9890088753193,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,49.12932335296798
pDCs,pSTAT6,IL-4,60.57208728790283,319.6687885509023,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,31.188184182523067
B Cells,pErk1/2,PMAIono,20.89662456512451,196.9132873102505,B Cells,CD45+ CD66-,Sm152Di,Human,median,B Cells,CD45+ CD66-,Sm152Di,Human,median,28.7331344815742
CD16+/CD11b+,pErk1/2,PMAIono,22.998779296875,264.5906124314904,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,55.98781444241643
CD11b+/CD16-,pP38,R848,27.061161994934082,139.16998910463883,CD11b+/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,24.494869105746197
CD4+T cells,pSTAT5,IFNb,26.57152557373047,51.48794706300863,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,16.39698379878932
CD16+/CD11b+,pErk1/2,LPS,27.6092529296875,276.15051132919893,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,55.94392677797988
CD11b+/CD16-,pSTAT6,IL-4,80.68621075153351,550.8648191620044,CD11b+/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,41.19674819100885
