population,reagent,R848,PMAIono,LPS,IL-12,IL-2,IFNb,IFNa2,GM-CSF,Anthrax,TNFa,IL-4,IFNg
CD16+/CD11b+,pErk1/2,31.54,22.999,27.609,,,,,52.006,30.221,,,
CD16+/CD11b+,pTBK1,304.695,,212.885,,,,,,,,,
CD11b-/CD16-,pErk1/2,,20.15,,,,,,40.92,,,,
CD11b+/CD16-,pTBK1,145.169,,97.821,,,,,,,25.133,,
CD16+/CD11b-,pTBK1,266.26,,149.085,,,,,,,23.154,,
CD4+/CD8+,pSTAT3,,,,22.357,20.658,,,,,,,
pDCs,pSTAT1,,,,,,21.549,20.377,,,,,
CD4+/CD8+,pSTAT5,,,,,44.772,24.783,,,,,,
pDCs,pErk1/2,,,,,,,,24.015,,,,
CD11b+/CD16-,pErk1/2,,,,,,,,47.022,26.774,,,
CD16+/CD11b-,pErk1/2,29.845,28.856,20.127,,,,,55.013,23.417,,,
Neutrophils,pErk1/2,,,,,,,,26.829,,,,
pDCs,pP38,20.31,,,,,,,,,,,
CD16+/CD11b-,pP38,21.668,,,,,,,,,,,
pDCs,pCREB,,20.794,,,,,,,,,,
B Cells,pErk1/2,,20.897,,,,,,,,,,
CD8+T cells,pSTAT6,,,,,,,,,,,25.686,
CD4+T cells,pSTAT6,,,,,,,,,,,36.424,
pDCs,pSTAT6,,,,,,,,,,,60.572,
CD4+/CD8+,pSTAT6,,,,,,,,,,,31.776,
CD7+/HLA-DR-,pSTAT6,,,,,,,,,,,22.136,
CD16+/CD11b-,pSTAT6,,,,,,,,,,,53.807,
CD11b-/CD16-,pSTAT6,,,,,,,,,,,73.276,
CD16+/CD11b+,pSTAT6,,,,,,,,,,,75.754,
CD1c+ B cells,pSTAT6,,,,,,,,,,,56.024,
CD7+/HLA-DR-,pSTAT5,,,,,30.304,,,,,,,
CD11b+/CD16-,pSTAT1,,,,,,33.224,25.044,,,,,24.027
CD16+/CD11b-,pSTAT1,,,,,,30.211,25.329,,,,,26.308
CD16+/CD11b+,pSTAT1,,,,,,41.463,33.399,,,,,35.158
CD4+T cells,pSTAT1,,,,,,22.544,,,,,,
CD4+T cells,pSTAT5,,,,,35.83,26.572,,,,,,
pDCs,pSTAT5,,,,,,20.671,,49.063,,,,
CD4+/CD8+,pSTAT1,,,,,,22.066,,,,,,
CD11b+/CD16-,pSTAT5,,,,,,29.892,,68.569,,,,
CD11b-/CD16-,pSTAT1,,,,,,26.944,22.224,,,,,
CD11b-/CD16-,pSTAT5,,,,,,27.736,,55.943,,,,
CD16+/CD11b+,pSTAT5,,,,,,21.382,,75.643,,,,
Basophils,pErk1/2,,,,,,,,29.051,,,,
CD11b+/CD16-,pP38,27.061,,,,,,,,,,,
CD11b+/CD16-,pSTAT6,,,,,,,,,,,80.686,
B Cells,pSTAT6,,,,,,,,,,,46.761,
CD8+T cells,pSTAT5,,,,,44.857,,,,,,,
Neutrophils,pSTAT5,,,,,,,,48.801,,,,
Basophils,pSTAT5,,,,,,,,61.117,,,,
CD16+/CD11b-,pSTAT5,,,,,,,,65.94,,,,
