"Neutrophils,pSTAT5,GM-CSF","Basophils,pSTAT5,GM-CSF","CD11b+/CD16-,pSTAT5,GM-CSF","CD8+T cells,pSTAT5,IL-2","CD16+/CD11b-,pSTAT5,GM-CSF","B Cells,pSTAT6,IL-4","CD16+/CD11b+,pSTAT5,GM-CSF","CD4+/CD8+,pSTAT5,IL-2","CD4+T cells,pSTAT5,IL-2","CD4+T cells,pSTAT5,IFNb","CD7+/HLA-DR-,pSTAT5,IL-2","CD16+/CD11b+,pSTAT6,IL-4","CD11b+/CD16-,pErk1/2,GM-CSF","CD16+/CD11b-,pErk1/2,GM-CSF","CD11b+/CD16-,pSTAT6,IL-4","CD4+/CD8+,pSTAT1,IFNb","CD4+T cells,pSTAT6,IL-4","CD11b-/CD16-,pSTAT5,GM-CSF","Basophils,pErk1/2,GM-CSF","Neutrophils,pErk1/2,GM-CSF","pDCs,pSTAT6,IL-4","CD11b-/CD16-,pSTAT6,IL-4","CD16+/CD11b+,pErk1/2,GM-CSF","CD4+/CD8+,pSTAT6,IL-4","CD1c+ B cells,pSTAT6,IL-4","CD16+/CD11b-,pTBK1,TNFa","pDCs,pSTAT5,GM-CSF","CD16+/CD11b-,pErk1/2,Anthrax","CD4+/CD8+,pSTAT5,IFNb","CD16+/CD11b-,pErk1/2,R848","CD16+/CD11b-,pSTAT6,IL-4","CD11b+/CD16-,pErk1/2,Anthrax","CD11b-/CD16-,pSTAT1,IFNb","CD16+/CD11b+,pErk1/2,R848","CD4+T cells,pSTAT1,IFNb","CD16+/CD11b-,pErk1/2,LPS","CD8+T cells,pSTAT6,IL-4","CD16+/CD11b-,pErk1/2,PMAIono","CD11b+/CD16-,pSTAT5,IFNb","CD11b-/CD16-,pSTAT5,IFNb","CD16+/CD11b-,pSTAT1,IFNg","CD11b-/CD16-,pErk1/2,GM-CSF","CD16+/CD11b+,pErk1/2,Anthrax","CD11b+/CD16-,pP38,R848","CD16+/CD11b-,pSTAT1,IFNb","CD16+/CD11b+,pSTAT1,IFNb","CD11b+/CD16-,pSTAT1,IFNb","CD11b-/CD16-,pSTAT1,IFNa2","CD11b+/CD16-,pSTAT1,IFNg","CD16+/CD11b+,pSTAT1,IFNg","B Cells,pErk1/2,PMAIono","CD16+/CD11b-,pSTAT1,IFNa2","CD16+/CD11b-,pP38,R848","CD11b+/CD16-,pTBK1,R848","CD16+/CD11b+,pErk1/2,PMAIono","CD7+/HLA-DR-,pSTAT6,IL-4","CD16+/CD11b+,pTBK1,R848","CD16+/CD11b+,pSTAT5,IFNb","CD11b+/CD16-,pSTAT1,IFNa2","pDCs,pSTAT1,IFNa2","CD16+/CD11b-,pTBK1,R848","pDCs,pSTAT5,IFNb","pDCs,pP38,R848","CD16+/CD11b+,pSTAT1,IFNa2","CD16+/CD11b+,pErk1/2,LPS","pDCs,pSTAT1,IFNb","pDCs,pErk1/2,GM-CSF","CD11b+/CD16-,pTBK1,TNFa","CD11b-/CD16-,pErk1/2,PMAIono","CD4+/CD8+,pSTAT3,IL-12","pDCs,pCREB,PMAIono","CD4+/CD8+,pSTAT3,IL-2","CD16+/CD11b-,pTBK1,LPS","CD16+/CD11b+,pTBK1,LPS","CD11b+/CD16-,pTBK1,LPS"
1.0,0.364,-0.448,0.097,-0.156,-0.186,-0.52,-0.02,0.027,0.139,-0.084,-0.583,0.154,-0.128,0.281,0.037,0.551,0.379,-0.147,0.307,-0.116,0.042,0.023,-0.332,0.274,0.297,0.165,0.236,-0.32,-0.161,-0.413,0.037,0.341,-0.2,0.376,-0.122,-0.43,-0.045,0.04,-0.277,0.032,0.136,-0.051,0.079,0.617,-0.207,0.057,-0.339,0.133,-0.006,-0.072,0.21,0.202,0.492,-0.025,-0.228,-0.322,0.066,-0.272,-0.114,0.095,-0.083,0.406,-0.178,-0.091,-0.198,-0.517,0.217,0.245,0.293,-0.055,0.459,0.342,0.143,-0.512
0.364,1.0,-0.071,0.186,-0.351,-0.762,0.083,0.249,-0.023,-0.395,-0.232,-0.354,0.053,-0.339,-0.484,0.608,-0.039,0.075,-0.083,0.518,0.27,0.641,0.342,0.507,0.121,0.462,-0.4,0.114,-0.235,0.021,-0.171,0.186,0.505,-0.164,0.482,-0.122,-0.096,-0.094,-0.144,-0.129,-0.325,0.433,0.011,-0.102,0.621,0.27,0.11,0.128,0.212,0.075,-0.267,0.535,-0.058,0.557,-0.294,0.354,-0.03,0.124,-0.292,-0.199,0.084,-0.165,0.472,-0.325,-0.245,-0.607,-0.084,0.189,0.154,0.151,-0.368,0.258,-0.137,-0.454,-0.024
-0.448,-0.071,1.0,0.09,0.234,-0.36,-0.222,-0.087,0.252,-0.033,0.247,-0.126,-0.187,0.102,0.112,-0.338,0.3,-0.491,-0.229,0.331,-0.349,0.266,0.37,0.2,-0.108,0.076,0.022,0.62,0.382,-0.118,-0.342,-0.174,-0.666,0.236,-0.131,-0.049,0.123,0.069,-0.143,0.262,-0.28,-0.056,0.385,-0.307,-0.401,0.375,0.54,0.643,0.133,0.318,-0.084,-0.17,0.023,-0.036,0.212,0.118,0.33,0.085,0.451,0.034,0.415,-0.287,0.083,0.191,0.171,0.257,0.276,0.017,0.08,-0.06,-0.23,-0.21,-0.052,-0.021,0.597
0.097,0.186,0.09,1.0,-0.029,-0.253,-0.314,0.201,-0.036,0.105,-0.283,-0.126,-0.172,0.065,-0.218,0.285,0.028,-0.273,-0.113,0.138,-0.261,0.221,-0.197,0.558,0.107,0.502,0.122,0.322,-0.018,-0.126,0.034,-0.289,0.486,0.063,0.207,0.426,-0.244,-0.142,-0.108,0.263,-0.853,-0.162,0.134,0.129,0.183,0.015,-0.03,0.176,-0.091,-0.195,-0.26,0.319,-0.397,0.231,-0.209,0.213,-0.279,0.132,-0.047,0.055,0.388,0.46,0.021,0.142,-0.08,-0.057,-0.139,0.318,-0.076,-0.102,-0.358,-0.417,0.125,-0.034,-0.065
-0.156,-0.351,0.234,-0.029,1.0,0.193,-0.001,-0.077,-0.256,-0.011,-0.159,0.269,-0.079,0.198,0.252,-0.7,0.253,-0.059,-0.132,-0.283,-0.041,-0.201,0.013,-0.263,-0.344,-0.333,0.552,0.134,0.574,-0.061,-0.07,-0.09,-0.375,0.324,0.075,0.057,0.005,0.557,-0.084,-0.061,-0.092,-0.175,0.418,-0.219,-0.116,-0.354,0.318,0.359,0.086,0.075,0.221,-0.129,0.22,0.035,0.288,-0.528,0.259,-0.369,0.68,-0.423,0.155,-0.415,0.075,0.666,0.253,0.4,0.476,0.213,0.242,0.112,0.428,-0.105,0.076,-0.092,0.36
-0.186,-0.762,-0.36,-0.253,0.193,1.0,0.26,-0.156,-0.282,0.439,0.035,0.571,0.163,0.33,0.544,-0.385,-0.026,0.35,0.298,-0.747,-0.194,-0.466,-0.482,-0.394,0.268,-0.585,0.429,-0.232,0.038,-0.026,0.162,0.027,-0.141,0.279,-0.255,0.214,0.019,-0.022,0.022,0.01,0.366,-0.155,0.087,0.123,-0.347,-0.563,-0.266,-0.391,-0.149,-0.24,0.283,-0.437,0.158,-0.396,0.418,-0.489,0.132,-0.206,0.266,0.17,-0.488,0.195,-0.246,0.261,0.444,0.405,0.149,-0.242,0.155,0.091,0.58,0.03,0.374,0.529,-0.048
-0.52,0.083,-0.222,-0.314,-0.001,0.26,1.0,-0.064,-0.273,-0.383,-0.4,0.47,0.202,0.005,-0.272,0.341,-0.581,0.212,0.496,-0.374,0.208,-0.043,-0.091,0.387,-0.049,-0.425,-0.168,-0.56,-0.024,0.001,0.379,0.186,0.218,0.247,0.18,0.239,0.1,-0.118,-0.176,-0.118,0.199,0.158,0.091,-0.343,0.021,-0.263,-0.175,0.058,-0.125,-0.21,0.327,0.153,-0.268,-0.188,0.101,0.081,0.258,-0.116,0.04,-0.302,-0.333,-0.152,-0.223,0.049,0.191,-0.075,0.286,-0.314,0.024,-0.041,0.457,0.139,-0.41,-0.357,0.222
-0.02,0.249,-0.087,0.201,-0.077,-0.156,-0.064,1.0,0.222,0.403,0.489,0.183,-0.399,-0.064,-0.379,0.206,-0.006,0.37,-0.044,-0.048,0.103,0.404,0.068,0.24,0.231,0.548,0.301,-0.029,0.015,0.317,-0.197,0.708,0.299,0.271,-0.236,0.181,0.394,0.27,0.013,-0.152,-0.284,0.397,-0.086,0.134,0.014,0.621,0.3,0.289,0.809,0.604,0.043,0.558,0.009,0.153,-0.117,0.086,0.255,0.003,0.224,-0.205,0.234,0.283,0.534,0.352,-0.066,-0.712,-0.064,0.613,0.25,0.39,-0.22,-0.288,0.15,-0.071,0.203
0.027,-0.023,0.252,-0.036,-0.256,-0.282,-0.273,0.222,1.0,-0.058,0.325,-0.618,-0.493,-0.404,-0.142,-0.065,0.186,0.187,-0.315,0.333,-0.403,-0.337,0.014,-0.063,-0.046,0.461,0.072,-0.036,0.319,-0.437,-0.128,-0.107,-0.294,-0.108,-0.306,-0.288,-0.14,-0.459,0.203,-0.003,-0.02,-0.278,-0.188,0.158,-0.216,0.412,0.391,0.508,0.183,0.127,0.29,0.105,-0.351,-0.141,-0.236,0.287,0.122,0.421,0.009,-0.052,0.464,0.316,-0.136,0.042,-0.27,0.047,-0.434,0.203,-0.252,-0.255,-0.088,0.094,-0.237,-0.252,-0.022
0.139,-0.395,-0.033,0.105,-0.011,0.439,-0.383,0.403,-0.058,1.0,0.681,0.307,-0.032,0.336,0.376,-0.271,0.499,0.362,0.108,-0.287,-0.322,0.14,-0.009,-0.218,0.447,-0.053,0.604,0.402,-0.007,0.368,-0.545,0.416,-0.03,0.56,-0.174,0.412,0.382,0.199,0.027,-0.132,0.076,0.215,0.321,0.106,-0.229,0.149,0.258,-0.102,0.491,0.47,0.202,-0.109,0.269,0.22,0.595,-0.306,0.328,-0.13,0.371,0.278,0.037,0.207,0.486,0.357,0.584,-0.139,-0.087,0.085,0.526,0.434,0.085,-0.114,0.727,0.799,0.272
