population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std,optimization_type,population_var,reagent_var,Condition_var,median_var,variance_var,uniquePopulationName_var,parentPopulation_var,channel_var,Species_var,statistic_var,uniquePopulationName_right_var,parentPopulation_right_var,channel_right_var,Species_right_var,statistic_right_var,std_var,optimization_type_var,population_corr,reagent_corr,Condition_corr,median_corr,variance_corr,uniquePopulationName_corr,parentPopulation_corr,channel_corr,Species_corr,statistic_corr,uniquePopulationName_right_corr,parentPopulation_right_corr,channel_right_corr,Species_right_corr,statistic_right_corr,std_corr,optimization_type_corr,combined_score
CD16+/CD11b+,pTBK1,LPS,212.885,30637.762,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,211.391,combined,CD16+/CD11b+,pTBK1,LPS,212.885,30637.762,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,211.391,variance,,,,,,,,,,,,,,,,,,15531.766
CD16+/CD11b+,pTBK1,R848,304.695,23469.438,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,208.756,combined,CD16+/CD11b+,pTBK1,R848,304.695,23469.438,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,208.756,variance,,,,,,,,,,,,,,,,,,12039.414
CD16+/CD11b-,pTBK1,LPS,149.085,16317.819,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,160.507,combined,CD16+/CD11b-,pTBK1,LPS,149.085,16317.819,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,160.507,variance,,,,,,,,,,,,,,,,,,8307.994
CD16+/CD11b-,pTBK1,R848,266.26,12918.907,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,165.063,combined,CD16+/CD11b-,pTBK1,R848,266.26,12918.907,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,165.063,variance,CD16+/CD11b-,pTBK1,R848,266.26,12918.907,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,165.063,correlation,6725.713
CD11b+/CD16-,pTBK1,LPS,97.821,9140.982,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,114.789,combined,CD11b+/CD16-,pTBK1,LPS,97.821,9140.982,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,114.789,variance,,,,,,,,,,,,,,,,,,4668.312
CD11b+/CD16-,pTBK1,R848,145.169,5077.86,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,102.352,combined,CD11b+/CD16-,pTBK1,R848,145.169,5077.86,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,102.352,variance,,,,,,,,,,,,,,,,,,2684.098
,,,22.357,3538.089,,,,,,,,,,,,combined,CD4+/CD8+,pSTAT3,IL-12,22.357,3538.089,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,109.049,variance,,,,,,,,,,,,,,,,,,1791.401
,,,20.658,2499.666,,,,,,,,,,,,combined,CD4+/CD8+,pSTAT3,IL-2,20.658,2499.666,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,101.852,variance,,,,,,,,,,,,,,,,,,1270.491
CD11b-/CD16-,pSTAT6,IL-4,73.276,735.754,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,42.265,combined,CD11b-/CD16-,pSTAT6,IL-4,73.276,735.754,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,42.265,variance,CD11b-/CD16-,pSTAT6,IL-4,73.276,735.754,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,42.265,correlation,441.153
,,,56.024,746.482,,,,,,,,,,,,combined,CD1c+ B cells,pSTAT6,IL-4,56.024,746.482,CD1c+ B cells,B Cells,Ho165Di,Human,median,CD1c+ B cells,B Cells,Ho165Di,Human,median,40.849,variance,,,,,,,,,,,,,,,,,,429.265
