population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std,optimization_type
CD16+/CD11b-,pTBK1,R848,266.26,12918.907,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,165.063,correlation
pDCs,pSTAT1,IFNb,21.549,160.706,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,26.207,correlation
CD16+/CD11b-,pTBK1,TNFa,23.154,247.656,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,23.096,correlation
CD16+/CD11b+,pSTAT5,IFNb,21.382,93.416,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,24.515,correlation
CD11b-/CD16-,pSTAT1,IFNb,26.944,171.488,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,28.501,correlation
CD16+/CD11b+,pErk1/2,GM-CSF,52.006,364.297,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,56.219,correlation
B Cells,pSTAT6,IL-4,46.761,124.819,B Cells,CD45+ CD66-,Ho165Di,Human,median,B Cells,CD45+ CD66-,Ho165Di,Human,median,22.096,correlation
pDCs,pErk1/2,GM-CSF,24.015,227.375,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,37.366,correlation
CD11b-/CD16-,pSTAT6,IL-4,73.276,735.754,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,42.265,correlation
CD16+/CD11b-,pErk1/2,LPS,20.127,120.99,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,39.211,correlation
