population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std,optimization_type,population_var,reagent_var,Condition_var,median_var,variance_var,uniquePopulationName_var,parentPopulation_var,channel_var,Species_var,statistic_var,uniquePopulationName_right_var,parentPopulation_right_var,channel_right_var,Species_right_var,statistic_right_var,std_var,optimization_type_var,population_corr,reagent_corr,Condition_corr,median_corr,variance_corr,uniquePopulationName_corr,parentPopulation_corr,channel_corr,Species_corr,statistic_corr,uniquePopulationName_right_corr,parentPopulation_right_corr,channel_right_corr,Species_right_corr,statistic_right_corr,std_corr,optimization_type_corr,combined_score
CD4+/CD8+,pSTAT3,IL-12,22.357,3538.089,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,109.049,combined,CD4+/CD8+,pSTAT3,IL-12,22.357,3538.089,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,109.049,variance,CD4+/CD8+,pSTAT3,IL-12,22.357,3538.089,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,109.049,correlation,1791.401
CD4+/CD8+,pSTAT3,IL-2,20.658,2499.666,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,101.852,combined,CD4+/CD8+,pSTAT3,IL-2,20.658,2499.666,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,101.852,variance,CD4+/CD8+,pSTAT3,IL-2,20.658,2499.666,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,101.852,correlation,1270.491
CD4+/CD8+,pSTAT5,IL-2,44.772,94.342,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,25.103,combined,CD4+/CD8+,pSTAT5,IL-2,44.772,94.342,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,25.103,variance,CD4+/CD8+,pSTAT5,IL-2,44.772,94.342,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,25.103,correlation,91.943
CD4+/CD8+,pSTAT1,IFNb,22.066,139.417,CD4+/CD8+,T Cells,Sm147Di,Human,median,CD4+/CD8+,T Cells,Sm147Di,Human,median,26.932,combined,CD4+/CD8+,pSTAT1,IFNb,22.066,139.417,CD4+/CD8+,T Cells,Sm147Di,Human,median,CD4+/CD8+,T Cells,Sm147Di,Human,median,26.932,variance,CD4+/CD8+,pSTAT1,IFNb,22.066,139.417,CD4+/CD8+,T Cells,Sm147Di,Human,median,CD4+/CD8+,T Cells,Sm147Di,Human,median,26.932,correlation,91.775
CD4+/CD8+,pSTAT6,IL-4,31.776,77.699,CD4+/CD8+,T Cells,Ho165Di,Human,median,CD4+/CD8+,T Cells,Ho165Di,Human,median,16.705,combined,CD4+/CD8+,pSTAT6,IL-4,31.776,77.699,CD4+/CD8+,T Cells,Ho165Di,Human,median,CD4+/CD8+,T Cells,Ho165Di,Human,median,16.705,variance,CD4+/CD8+,pSTAT6,IL-4,31.776,77.699,CD4+/CD8+,T Cells,Ho165Di,Human,median,CD4+/CD8+,T Cells,Ho165Di,Human,median,16.705,correlation,70.625
CD4+/CD8+,pSTAT5,IFNb,24.783,79.964,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,20.907,combined,CD4+/CD8+,pSTAT5,IFNb,24.783,79.964,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,20.907,variance,CD4+/CD8+,pSTAT5,IFNb,24.783,79.964,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,20.907,correlation,64.765
Neutrophils,pErk1/2,GM-CSF,26.829,277.92,Neutrophils,Non-Basophils,Sm152Di,Human,median,Neutrophils,Non-Basophils,Sm152Di,Human,median,46.914,combined,Neutrophils,pErk1/2,GM-CSF,26.829,277.92,Neutrophils,Non-Basophils,Sm152Di,Human,median,Neutrophils,Non-Basophils,Sm152Di,Human,median,46.914,variance,Neutrophils,pErk1/2,GM-CSF,26.829,277.92,Neutrophils,Non-Basophils,Sm152Di,Human,median,Neutrophils,Non-Basophils,Sm152Di,Human,median,46.914,correlation,165.789
Neutrophils,pSTAT5,GM-CSF,48.801,149.608,Neutrophils,Non-Basophils,Sm149Di,Human,median,Neutrophils,Non-Basophils,Sm149Di,Human,median,22.998,combined,Neutrophils,pSTAT5,GM-CSF,48.801,149.608,Neutrophils,Non-Basophils,Sm149Di,Human,median,Neutrophils,Non-Basophils,Sm149Di,Human,median,22.998,variance,Neutrophils,pSTAT5,GM-CSF,48.801,149.608,Neutrophils,Non-Basophils,Sm149Di,Human,median,Neutrophils,Non-Basophils,Sm149Di,Human,median,22.998,correlation,123.605
CD11b+/CD16-,pTBK1,LPS,97.821,9140.982,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,114.789,combined,CD11b+/CD16-,pTBK1,LPS,97.821,9140.982,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,114.789,variance,CD11b+/CD16-,pTBK1,LPS,97.821,9140.982,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,114.789,correlation,4668.312
CD11b+/CD16-,pTBK1,R848,145.169,5077.86,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,102.352,combined,CD11b+/CD16-,pTBK1,R848,145.169,5077.86,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,102.352,variance,CD11b+/CD16-,pTBK1,R848,145.169,5077.86,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,102.352,correlation,2684.098
CD11b+/CD16-,pSTAT6,IL-4,80.686,550.865,CD11b+/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,41.197,combined,CD11b+/CD16-,pSTAT6,IL-4,80.686,550.865,CD11b+/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,41.197,variance,CD11b+/CD16-,pSTAT6,IL-4,80.686,550.865,CD11b+/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,41.197,correlation,356.119
CD11b+/CD16-,pErk1/2,Anthrax,26.774,364.642,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,50.358,combined,CD11b+/CD16-,pErk1/2,Anthrax,26.774,364.642,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,50.358,variance,CD11b+/CD16-,pErk1/2,Anthrax,26.774,364.642,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,50.358,correlation,209.095
CD11b+/CD16-,pSTAT5,GM-CSF,68.569,250.687,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,31.898,combined,CD11b+/CD16-,pSTAT5,GM-CSF,68.569,250.687,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,31.898,variance,CD11b+/CD16-,pSTAT5,GM-CSF,68.569,250.687,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,31.898,correlation,193.913
CD11b+/CD16-,pTBK1,TNFa,25.133,331.844,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,26.609,combined,CD11b+/CD16-,pTBK1,TNFa,25.133,331.844,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,26.609,variance,CD11b+/CD16-,pTBK1,TNFa,25.133,331.844,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,26.609,correlation,191.055
CD11b+/CD16-,pErk1/2,GM-CSF,47.022,214.256,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,48.142,combined,CD11b+/CD16-,pErk1/2,GM-CSF,47.022,214.256,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,48.142,variance,CD11b+/CD16-,pErk1/2,GM-CSF,47.022,214.256,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,48.142,correlation,154.15
CD11b+/CD16-,pSTAT1,IFNb,33.224,204.345,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,43.381,combined,CD11b+/CD16-,pSTAT1,IFNb,33.224,204.345,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,43.381,variance,CD11b+/CD16-,pSTAT1,IFNb,33.224,204.345,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,43.381,correlation,135.396
CD11b+/CD16-,pP38,R848,27.061,139.17,CD11b+/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,24.495,combined,,,,,,,,,,,,,,,,,,CD11b+/CD16-,pP38,R848,27.061,139.17,CD11b+/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,24.495,correlation,96.646
CD11b+/CD16-,pSTAT5,IFNb,29.892,102.805,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,23.709,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.294
CD16+/CD11b-,pTBK1,LPS,149.085,16317.819,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,160.507,combined,CD16+/CD11b-,pTBK1,LPS,149.085,16317.819,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,160.507,variance,,,,,,,,,,,,,,,,,,8307.994
CD16+/CD11b-,pTBK1,R848,266.26,12918.907,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,165.063,combined,CD16+/CD11b-,pTBK1,R848,266.26,12918.907,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,165.063,variance,CD16+/CD11b-,pTBK1,R848,266.26,12918.907,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,165.063,correlation,6725.713
CD16+/CD11b-,pSTAT6,IL-4,53.807,323.827,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,31.302,combined,CD16+/CD11b-,pSTAT6,IL-4,53.807,323.827,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,31.302,variance,CD16+/CD11b-,pSTAT6,IL-4,53.807,323.827,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,31.302,correlation,215.721
CD16+/CD11b-,pErk1/2,GM-CSF,55.013,238.407,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,44.616,combined,CD16+/CD11b-,pErk1/2,GM-CSF,55.013,238.407,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,44.616,variance,,,,,,,,,,,,,,,,,,174.217
CD16+/CD11b-,pSTAT5,GM-CSF,65.94,200.341,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,31.611,combined,CD16+/CD11b-,pSTAT5,GM-CSF,65.94,200.341,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,31.611,variance,CD16+/CD11b-,pSTAT5,GM-CSF,65.94,200.341,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,31.611,correlation,166.11
