population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std,optimization_type
CD16+/CD11b+,pTBK1,LPS,212.885,30637.762,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,211.391,variance
CD16+/CD11b+,pTBK1,R848,304.695,23469.438,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,208.756,variance
CD16+/CD11b-,pTBK1,LPS,149.085,16317.819,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,160.507,variance
CD16+/CD11b-,pTBK1,R848,266.26,12918.907,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,165.063,variance
CD11b+/CD16-,pTBK1,LPS,97.821,9140.982,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,114.789,variance
CD11b+/CD16-,pTBK1,R848,145.169,5077.86,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,102.352,variance
CD4+/CD8+,pSTAT3,IL-12,22.357,3538.089,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,109.049,variance
CD4+/CD8+,pSTAT3,IL-2,20.658,2499.666,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,101.852,variance
CD1c+ B cells,pSTAT6,IL-4,56.024,746.482,CD1c+ B cells,B Cells,Ho165Di,Human,median,CD1c+ B cells,B Cells,Ho165Di,Human,median,40.849,variance
CD11b-/CD16-,pSTAT6,IL-4,73.276,735.754,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,42.265,variance
