population,reagent,Condition,median,variance
pDCs,pSTAT4,CD40L,9.950536727905273,47.34788111614013
CD8+T cells,pSTAT5,IFNa2,18.470229148864746,87.81711588922319
Neutrophils,pSTAT1,GM-CSF,30.513125896453857,364.6639565885899
CD1c+ B cells,pSTAT1,Basal,12.533693075180054,NaN
pDCs,pSTAT6,IL-12,8.19987154006958,54.37853381779707
CD11b+/CD16-,pCREB,Ebola VLPs,50.59704303741455,602.4013697273765
CD7+/HLA-DR-,pCREB,IL-12,22.246949672698975,135.735475247234
Basophils,pSTAT4,PMAIono,9.235279083251953,34.03655335501397
CD1c+ B cells,pSTAT3,IFNb,71.56204986572266,NaN
CD4+T cells,pSTAT5,GM-CSF,12.463162660598755,60.498747248782244
Basophils,pSTAT6,IL-4,7.48922860622406,30.16949974941928
CD4+T cells,pSTAT6,IFNa2,6.561795711517334,18.2200331093393
CD16+/CD11b-,pErk1/2,GM-CSF,114.45439529418945,2054.515392907949
CD4+T cells,pSTAT6,IL-12,4.930100798606873,17.392654519885127
CD8+T cells,pSTAT1,IL-2,17.57089614868164,80.67636196896567
B Cells,pSTAT3,Ebola VLPs,38.23704528808594,2214.4391495234413
pDCs,pS6,IL-2,65.33057594299316,1155.0794718506954
CD4+/CD8+,pTBK1,GM-CSF,8.543242454528809,NaN
CD7+/HLA-DR-,pCREB,Ebola VLPs,21.603069305419922,128.56806157859322
CD11b+/CD16-,pZap70/Syk,IL-12,5.649126291275024,9.387728653672665
pDCs,Ki67,IL-4,26.91191005706787,336.3100675063519
Neutrophils,pErk1/2,IL-2,86.85623931884766,1930.8288157884658
CD8+T cells,pSTAT4,IFNa2,14.964515447616577,42.66278065870081
Neutrophils,pS6,Ebola VLPs,47.899027824401855,599.8278559815933
CD4+/CD8+,pTBK1,R848,8.885096549987793,NaN
Basophils,pSTAT1,Ebola VLPs,26.815621376037598,249.6939945448695
pDCs,pSTAT6,IL-4,83.2970027923584,1011.2683525209038
CD11b-/CD16-,p4E-BP1,TNFa,45.34720993041992,266.5286485863915
CD16+/CD11b+,pMAPKAPK2,PMAIono,17.025938034057617,54.97400481516034
CD11b+/CD16-,pSTAT1,R848,47.622352600097656,882.5308580753318
CD1c+ B cells,pPLCg2,LPS,9.54965603351593,NaN
CD11b+/CD16-,pMAPKAPK2,IL-6,14.168700695037842,30.97743069066504
CD7+/HLA-DR-,pZap70/Syk,IL-4,3.890137553215027,4.127394486448188
CD7+/HLA-DR-,pErk1/2,TNFa,25.714436531066895,264.94848788380665
CD1c+ B cells,pPLCg2,IL-2,11.653793334960938,NaN
CD16+/CD11b-,pS6,IFNg,73.72211265563965,1312.0757144319784
Basophils,pZap70/Syk,Ebola VLPs,3.0020534992218018,2.772819660905331
CD11b+/CD16-,pSTAT6,Basal,7.915326714515686,52.05063471609024
CD7+/HLA-DR-,pSTAT3,IL-4,59.31857490539551,3469.751834671222
CD11b-/CD16-,pTBK1,Basal,12.865332841873169,81.83259364188372
Neutrophils,p4E-BP1,IFNb,6.832525253295898,7.256196538230989
CD4+T cells,pSTAT3,GM-CSF,43.204468727111816,2323.7399962988197
CD1c+ B cells,pErk1/2,CD40L,40.47420310974121,NaN
CD11b+/CD16-,IkBa,LPS,5.247254133224487,7.068398785040575
CD11b-/CD16-,pS6,TNFa,74.30019187927246,1372.74298770722
CD16+/CD11b+,pP38,LPS,33.811827659606934,435.0895201980084
CD8+T cells,pErk1/2,IL-4,26.500904083251953,210.95283835002726
CD4+T cells,pSTAT5,IL-4,14.562389373779297,70.56688272856296
CD8+T cells,pPLCg2,IFNa2,5.6826008558273315,11.090104656121133
CD11b+/CD16-,pPLCg2,IL-6,12.385286808013916,62.46446402704813
CD11b+/CD16-,pMAPKAPK2,Basal,13.631632566452026,29.22926800415078
CD11b-/CD16-,pPLCg2,IL-4,9.81072473526001,33.52178615383929
CD4+T cells,Ki67,Ebola VLPs,16.664818286895752,99.27268952406128
CD4+T cells,pErk1/2,Basal,27.623074531555176,218.57639225604774
CD8+T cells,pSTAT5,IL-6,13.248031616210938,61.81075281623556
CD11b+/CD16-,pCREB,IFNa2,50.06598472595215,566.3360406257717
CD7+/HLA-DR-,pP38,CD40L,11.076796531677246,43.43387421537291
Basophils,pMAPKAPK2,IL-4,7.670320510864258,13.142372515642982
CD1c+ B cells,pP38,IFNa2,25.475205898284912,NaN
CD8+T cells,pS6,IL-4,44.94730091094971,447.5350030567959
pDCs,pSTAT1,IFNa2,43.879300117492676,579.0368181761796
CD1c+ B cells,pMAPKAPK2,Anthrax,9.105221629142761,NaN
pDCs,pS6,Ebola VLPs,65.73989295959473,1072.856417869457
pDCs,pCREB,IL-4,26.324973106384277,211.30871932756733
CD16+/CD11b+,pSTAT4,IFNa2,17.539633750915527,143.9920226304164
CD16+/CD11b-,pSTAT3,PMAIono,65.7700366973877,4668.754600659537
CD16+/CD11b-,pSTAT3,GM-CSF,68.12073516845703,4727.869533484378
CD4+/CD8+,pP38,Basal,19.92841911315918,NaN
CD16+/CD11b-,IkBa,GM-CSF,4.6792973279953,4.593538561681397
B Cells,pErk1/2,GM-CSF,26.34237813949585,176.2468213027314
B Cells,pSTAT3,GM-CSF,37.9195032119751,2141.4406378038843
CD1c+ B cells,pSTAT5,IL-4,20.800010681152344,NaN
CD11b+/CD16-,pSTAT1,IFNg,79.21714401245117,1556.433387337514
CD4+T cells,IkBa,PMAIono,6.3448326587677,9.24393610097983
CD4+T cells,pPLCg2,IFNa2,5.336452603340149,10.098767149591291
CD7+/HLA-DR-,pSTAT5,TNFa,10.172285795211792,54.392040981935466
CD1c+ B cells,pS6,LPS,63.539560317993164,NaN
CD11b-/CD16-,pSTAT1,Ebola VLPs,28.4220232963562,440.6279304704846
Neutrophils,pZap70/Syk,R848,8.051953077316284,6.29519375962393
CD1c+ B cells,pTBK1,LPS,16.703679084777832,NaN
CD11b-/CD16-,pPLCg2,IFNa2,9.975440502166748,36.9186417729737
CD11b-/CD16-,pPLCg2,IL-2,9.640836715698242,34.97813329920685
CD4+/CD8+,pMAPKAPK2,IFNb,8.638896942138672,NaN
pDCs,pPLCg2,IFNa2,9.675155639648438,24.30445438492715
Basophils,Ki67,CD40L,17.396212577819824,89.02340553654247
B Cells,pS6,IFNb,44.557607650756836,368.1354580552787
CD4+T cells,pMAPKAPK2,IFNg,5.947296142578125,7.833129872317179
CD16+/CD11b+,pS6,LPS,83.69009780883789,3289.4688431755667
CD1c+ B cells,p4E-BP1,CD40L,33.61374282836914,NaN
Neutrophils,pCREB,Anthrax,26.338332176208496,151.60799512845207
CD16+/CD11b+,pSTAT3,IFNa2,121.94143676757812,8926.7053400128
CD11b+/CD16-,p4E-BP1,R848,31.875367164611816,114.700815370176
CD1c+ B cells,pSTAT1,CD40L,13.594603300094604,NaN
B Cells,pS6,R848,45.428587913513184,350.4773834192703
CD11b+/CD16-,pZap70/Syk,IFNg,5.607110023498535,8.332165643957607
CD16+/CD11b-,pSTAT4,IL-2,13.336719512939453,65.67276196045766
CD11b+/CD16-,pErk1/2,IFNa2,73.86160850524902,1709.0710295477568
CD1c+ B cells,pP38,IFNg,25.45470905303955,NaN
CD11b-/CD16-,IkBa,IL-4,11.008012056350708,32.64773173717878
CD11b-/CD16-,IkBa,IFNb,10.046589374542236,30.051016189950197
CD16+/CD11b+,pMAPKAPK2,IL-2,15.124190330505371,38.592274804893925
CD16+/CD11b+,pTBK1,IL-12,14.547847986221313,262.3697635795155
CD7+/HLA-DR-,pSTAT5,IL-6,10.027247905731201,49.99637547326239
B Cells,pPLCg2,IL-4,6.717995047569275,11.735882210534932
CD1c+ B cells,IkBa,IFNg,12.50701379776001,NaN
B Cells,pP38,LPS,17.296584129333496,88.3052602998811
pDCs,p4E-BP1,PMAIono,37.26204586029053,185.79648009918665
CD1c+ B cells,pSTAT1,Anthrax,12.715195298194885,NaN
CD1c+ B cells,IkBa,TNFa,10.619856595993042,NaN
CD4+/CD8+,pTBK1,IFNg,8.53532600402832,NaN
CD1c+ B cells,Ki67,CD40L,22.308008193969727,NaN
CD16+/CD11b-,pTBK1,IL-2,13.911676406860352,118.36573765105513
CD4+/CD8+,pS6,IFNb,76.21751403808594,NaN
CD11b-/CD16-,pZap70/Syk,IL-4,5.348735928535461,6.309022819819797
CD7+/HLA-DR-,p4E-BP1,IL-12,6.341427326202393,5.050399221785251
CD16+/CD11b+,p4E-BP1,Basal,34.44941711425781,149.3983000571961
Basophils,pS6,CD40L,47.57566547393799,653.0561493593211
B Cells,pSTAT3,Anthrax,43.56497669219971,2460.928752298397
CD1c+ B cells,Ki67,PMAIono,26.338228225708008,NaN
CD7+/HLA-DR-,pSTAT1,Basal,5.733133912086487,12.282525505710689
CD16+/CD11b-,pSTAT5,GM-CSF,103.15410614013672,1039.6774384607556
B Cells,pP38,IL-2,17.617663383483887,86.13952408759235
pDCs,pTBK1,Ebola VLPs,11.72581171989441,89.48511473568466
CD16+/CD11b-,pErk1/2,PMAIono,82.88862609863281,1797.7984792647794
CD4+/CD8+,pTBK1,CD40L,8.84968376159668,63.88842292367303
CD16+/CD11b+,pTBK1,R848,360.1044921875,42591.925804746126
CD4+/CD8+,pTBK1,Basal,8.744285583496094,NaN
Neutrophils,pP38,R848,23.743343353271484,92.51543105539261
CD11b+/CD16-,pSTAT1,IL-2,44.822601318359375,779.895537578822
Basophils,pS6,R848,48.097381591796875,501.05877374661895
CD1c+ B cells,pS6,IL-4,65.59769058227539,NaN
pDCs,pTBK1,R848,13.489686965942383,143.58053757230465
CD7+/HLA-DR-,pSTAT5,IFNb,13.085302352905273,64.25388499109457
pDCs,Ki67,IFNb,25.336341857910156,347.88074352539894
CD16+/CD11b-,pErk1/2,IL-6,54.0313663482666,950.8280736227655
CD7+/HLA-DR-,pSTAT1,IFNa2,10.686577796936035,29.340324012314206
CD1c+ B cells,pPLCg2,IFNg,8.846503257751465,NaN
CD1c+ B cells,pSTAT6,LPS,9.057765007019043,NaN
CD4+/CD8+,pSTAT6,GM-CSF,5.386779069900513,NaN
CD11b-/CD16-,pTBK1,IL-12,12.035478115081787,86.60362581405168
Basophils,pCREB,TNFa,32.24991989135742,277.76845587385407
Basophils,pTBK1,IL-4,11.462757587432861,76.80521402901194
Basophils,pTBK1,IFNb,11.665168762207031,73.8024952059047
CD8+T cells,pSTAT5,Ebola VLPs,11.463425159454346,54.094342870694014
pDCs,pCREB,IL-12,23.87421464920044,197.5876541107623
CD7+/HLA-DR-,p4E-BP1,Ebola VLPs,6.1880433559417725,4.2715990627671205
CD11b-/CD16-,pSTAT5,GM-CSF,81.91791915893555,999.1789546281128
CD11b-/CD16-,pCREB,GM-CSF,49.750948905944824,602.7615559743022
CD4+T cells,pSTAT6,Ebola VLPs,4.857205748558044,13.994690755282782
CD16+/CD11b+,pSTAT4,IFNg,18.656832695007324,143.0598301987089
CD1c+ B cells,pZap70/Syk,IFNb,5.996715724468231,NaN
Neutrophils,pSTAT4,Basal,7.550693511962891,28.584818952978114
CD1c+ B cells,IkBa,GM-CSF,11.75842547416687,NaN
CD4+T cells,pP38,IFNa2,14.478019714355469,53.84915806903176
CD11b-/CD16-,Ki67,GM-CSF,35.204426765441895,455.5435539544277
CD1c+ B cells,pSTAT4,IL-4,10.430129051208496,NaN
CD11b-/CD16-,pSTAT1,IFNg,40.437310218811035,488.81469736928267
B Cells,pSTAT4,CD40L,8.936266899108887,18.952225383798368
CD1c+ B cells,pMAPKAPK2,IL-2,9.794390678405762,NaN
pDCs,p4E-BP1,Anthrax,40.54961967468262,196.36235608534813
Basophils,Ki67,IL-4,17.16604995727539,81.76089323803649
CD16+/CD11b-,pSTAT3,IL-2,66.10037040710449,4276.940204191538
CD16+/CD11b+,pSTAT6,PMAIono,7.595632553100586,76.61717464303882
CD1c+ B cells,pP38,CD40L,33.89696168899536,NaN
CD4+T cells,pZap70/Syk,CD40L,4.719353914260864,1.9973187578724143
CD7+/HLA-DR-,pMAPKAPK2,IL-2,5.754525899887085,9.998637596657726
CD11b-/CD16-,pPLCg2,IFNb,9.729039907455444,38.900567682155774
B Cells,pSTAT1,LPS,5.751968145370483,10.35022745867341
Neutrophils,pMAPKAPK2,IL-12,7.045110702514648,14.223856377055505
CD4+/CD8+,pSTAT4,IFNb,21.816844940185547,NaN
CD16+/CD11b-,p4E-BP1,CD40L,19.702106475830078,63.337193794025936
pDCs,pCREB,TNFa,36.39441394805908,405.49351196984287
CD7+/HLA-DR-,pSTAT4,Basal,5.984165549278259,11.855558666442066
Neutrophils,IkBa,IL-6,2.333387076854706,1.0890121225643588
CD7+/HLA-DR-,pSTAT5,PMAIono,10.270090103149414,55.601791133066335
Basophils,pS6,IL-4,48.1876220703125,546.8924856636002
CD16+/CD11b+,pErk1/2,LPS,100.82394027709961,3157.825326954183
B Cells,pSTAT6,IFNb,15.93018102645874,48.29869151208751
Basophils,Ki67,Ebola VLPs,17.170412063598633,80.57879989284343
CD16+/CD11b+,pSTAT5,IFNa2,33.26027297973633,500.38872649627103
pDCs,pPLCg2,CD40L,9.687559604644775,33.15538888765582
CD4+/CD8+,p4E-BP1,Basal,9.667674779891968,NaN
Basophils,pPLCg2,LPS,6.902990818023682,11.769370835034167
CD4+/CD8+,pSTAT5,IFNg,18.987183570861816,NaN
pDCs,p4E-BP1,IFNb,38.912458419799805,209.39185873151695
CD1c+ B cells,pSTAT3,CD40L,58.89978790283203,NaN
CD1c+ B cells,pSTAT5,CD40L,18.60886526107788,NaN
CD4+/CD8+,pS6,LPS,74.98941040039062,NaN
pDCs,pSTAT1,Basal,19.0630521774292,169.91642737458187
CD4+T cells,pSTAT6,IL-4,46.838178634643555,287.75083177478786
pDCs,p4E-BP1,IL-2,39.72538948059082,188.4024175265612
CD16+/CD11b-,p4E-BP1,IL-4,19.87676429748535,55.710365978602056
CD4+T cells,pP38,GM-CSF,14.121861457824707,51.106819196937025
CD8+T cells,pZap70/Syk,Anthrax,4.529445171356201,1.7125480673514797
Neutrophils,pSTAT5,IL-12,15.393273830413818,129.53534346759346
CD1c+ B cells,pTBK1,IL-4,16.541593551635742,NaN
CD8+T cells,pTBK1,CD40L,6.570027232170105,27.340363847080088
Neutrophils,pSTAT6,Basal,3.863114893436432,14.803248503080598
B Cells,p4E-BP1,TNFa,25.39427375793457,25.393458390638493
Basophils,pSTAT3,TNFa,50.79373836517334,4014.4633903886315
pDCs,pSTAT6,GM-CSF,11.88614797592163,NaN
CD7+/HLA-DR-,pS6,Basal,40.53011989593506,525.2259969224533
CD11b+/CD16-,pP38,IFNb,18.25913143157959,133.92870357463647
Basophils,pP38,R848,10.921104431152344,32.25084809604639
CD16+/CD11b+,pSTAT6,Basal,8.243966102600098,59.52404127626812
CD11b+/CD16-,pZap70/Syk,TNFa,5.761192798614502,8.667379869204234
CD11b-/CD16-,pSTAT6,GM-CSF,9.381107330322266,43.10627838494381
Neutrophils,IkBa,IL-2,2.5223076343536377,1.3667224705054868
CD16+/CD11b-,p4E-BP1,LPS,17.505441665649414,50.54264287964033
Basophils,pS6,GM-CSF,52.19323539733887,565.5740141776236
CD1c+ B cells,p4E-BP1,GM-CSF,33.55576753616333,NaN
Neutrophils,pSTAT4,R848,8.070163488388062,24.167697262603607
CD16+/CD11b-,pCREB,PMAIono,51.133009910583496,700.5855841895981
CD7+/HLA-DR-,pTBK1,Ebola VLPs,7.564163684844971,34.54442533749349
CD11b+/CD16-,p4E-BP1,GM-CSF,32.66170597076416,138.51510492092103
CD11b-/CD16-,pZap70/Syk,GM-CSF,5.174671649932861,6.505847723137813
