reagent,Condition,CD16+/CD11b+,CD11b-/CD16-,CD11b+/CD16-,CD16+/CD11b-,CD4+/CD8+,pDCs,Neutrophils,B Cells,CD8+T cells,CD4+T cells,CD7+/HLA-DR-,CD1c+ B cells,Basophils
pErk1/2,R848,31.54,,,29.845,,,,,,,,,
pTBK1,R848,304.695,,145.169,266.26,,,,,,,,,
pErk1/2,PMAIono,22.999,20.15,,28.856,,,,20.897,,,,,
pTBK1,LPS,212.885,,97.821,149.085,,,,,,,,,
pErk1/2,LPS,27.609,,,20.127,,,,,,,,,
pSTAT3,IL-12,,,,,22.357,,,,,,,,
pSTAT3,IL-2,,,,,20.658,,,,,,,,
pSTAT1,IFNb,41.463,26.944,33.224,30.211,22.066,21.549,,,,22.544,,,
pSTAT5,IFNb,21.382,27.736,29.892,,24.783,20.671,,,,26.572,,,
pSTAT1,IFNa2,33.399,22.224,25.044,25.329,,20.377,,,,,,,
pErk1/2,GM-CSF,52.006,40.92,47.022,55.013,,24.015,26.829,,,,,,29.051
pErk1/2,Anthrax,30.221,,26.774,23.417,,,,,,,,,
pTBK1,TNFa,,,25.133,23.154,,,,,,,,,
pP38,R848,,,27.061,21.668,,20.31,,,,,,,
pCREB,PMAIono,,,,,,20.794,,,,,,,
pSTAT6,IL-4,75.754,73.276,80.686,53.807,31.776,60.572,,46.761,25.686,36.424,22.136,56.024,
pSTAT5,IL-2,,,,,44.772,,,,44.857,35.83,30.304,,
pSTAT1,IFNg,35.158,,24.027,26.308,,,,,,,,,
pSTAT5,GM-CSF,75.643,55.943,68.569,65.94,,49.063,48.801,,,,,,61.117
