population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std
CD11b-/CD16-,pP38,R848,16.107956409454346,133.82593732688244,CD11b-/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,21.109607741218237
CD11b+/CD16-,pP38,TNFa,13.765019416809082,109.07461323870133,CD11b+/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,18.657035108588445
CD4+/CD8+,pSTAT5,IFNb,27.556766510009766,136.8870630873262,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,20.907012598677465
CD7+/HLA-DR-,pSTAT5,IL-2,32.55981922149658,71.55237953797189,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,15.850862363172888
CD16+/CD11b+,pTBK1,TNFa,21.464025735855103,761.6098127514139,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,31.65531537036047
CD1c+ B cells,pSTAT6,IL-4,58.53649926185608,1284.5361588236685,CD1c+ B cells,B Cells,Ho165Di,Human,median,CD1c+ B cells,B Cells,Ho165Di,Human,median,40.848834638887396
CD16+/CD11b-,pSTAT1,IFNa2,26.494571685791016,198.23671393807,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,39.89199953582332
CD16+/CD11b-,pTBK1,R848,303.4372663497925,17367.34517999213,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,165.0632993414194
CD4+T cells,pSTAT1,IFNa2,17.21664047241211,77.88772459432997,CD4+T cells,T Cells,Sm147Di,Human,median,CD4+T cells,T Cells,Sm147Di,Human,median,17.886214850361586
CD16+/CD11b-,pCREB,GM-CSF,11.232234954833984,93.57468123745736,CD16+/CD11b-,HLA-DR+/CD7-,Nd145Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Nd145Di,Human,median,24.371271422298467
CD1c+ B cells,pTBK1,CD40L,15.465748310089111,341.03166534451725,CD1c+ B cells,B Cells,Dy161Di,Human,median,CD1c+ B cells,B Cells,Dy161Di,Human,median,314.77735402076365
CD11b+/CD16-,pErk1/2,GM-CSF,47.84790802001953,362.1256377188791,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,48.141736362737895
Neutrophils,pSTAT5,GM-CSF,62.61134433746338,129.76895120874073,Neutrophils,Non-Basophils,Sm149Di,Human,median,Neutrophils,Non-Basophils,Sm149Di,Human,median,22.997603553196388
CD11b+/CD16-,pErk1/2,LPS,18.347938537597656,202.44595828513283,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,46.00705891424206
CD16+/CD11b+,pSTAT5,IFNb,22.70664405822754,113.15587358797335,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,24.515009083556603
CD11b+/CD16-,pTBK1,LPS,102.46567916870117,11255.956257391403,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,114.78884061136326
CD11b+/CD16-,pSTAT5,IFNa2,10.476959228515625,36.773667851154336,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,16.796877470983528
CD4+/CD8+,pS6,IL-12,11.753822326660156,285.1410338602473,CD4+/CD8+,T Cells,Sm150Di,Human,median,CD4+/CD8+,T Cells,Sm150Di,Human,median,46.57857873693708
CD4+/CD8+,pSTAT3,Anthrax,17.14609146118164,2457.814678472734,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,98.4240759251527
CD4+T cells,pSTAT1,IFNb,27.0111985206604,157.96507318787823,CD4+T cells,T Cells,Sm147Di,Human,median,CD4+T cells,T Cells,Sm147Di,Human,median,22.131101017519658
pDCs,pSTAT5,GM-CSF,51.53347587585449,342.5255301400219,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,30.469274544196967
CD11b+/CD16-,pSTAT5,IFNg,11.560242652893066,30.921508554778548,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,17.292578705232142
