population,Condition,pErk1/2,pTBK1,pSTAT3,pSTAT1,pSTAT5,pP38,pCREB,pSTAT6
CD16+/CD11b+,R848,31.54,304.695,,,,,,
CD11b-/CD16-,PMAIono,20.15,,,,,,,
CD16+/CD11b+,PMAIono,22.999,,,,,,,
CD11b+/CD16-,LPS,,97.821,,,,,,
CD16+/CD11b-,LPS,20.127,149.085,,,,,,
CD16+/CD11b+,LPS,27.609,212.885,,,,,,
CD4+/CD8+,IL-12,,,22.357,,,,,
CD4+/CD8+,IL-2,,,20.658,,44.772,,,
pDCs,IFNb,,,,21.549,20.671,,,
CD4+/CD8+,IFNb,,,,22.066,24.783,,,
pDCs,IFNa2,,,,20.377,,,,
pDCs,GM-CSF,24.015,,,,49.063,,,
CD11b+/CD16-,Anthrax,26.774,,,,,,,
CD16+/CD11b-,Anthrax,23.417,,,,,,,
CD16+/CD11b+,Anthrax,30.221,,,,,,,
CD16+/CD11b-,PMAIono,28.856,,,,,,,
Neutrophils,GM-CSF,26.829,,,,48.801,,,
CD11b-/CD16-,GM-CSF,40.92,,,,55.943,,,
CD16+/CD11b+,GM-CSF,52.006,,,,75.643,,,
CD11b+/CD16-,TNFa,,25.133,,,,,,
CD16+/CD11b-,TNFa,,23.154,,,,,,
pDCs,R848,,,,,,20.31,,
CD11b+/CD16-,R848,,145.169,,,,27.061,,
CD16+/CD11b-,R848,29.845,266.26,,,,21.668,,
pDCs,PMAIono,,,,,,,20.794,
B Cells,PMAIono,20.897,,,,,,,
CD8+T cells,IL-4,,,,,,,,25.686
CD4+T cells,IL-4,,,,,,,,36.424
pDCs,IL-4,,,,,,,,60.572
CD4+/CD8+,IL-4,,,,,,,,31.776
CD7+/HLA-DR-,IL-4,,,,,,,,22.136
CD16+/CD11b-,IL-4,,,,,,,,53.807
CD11b-/CD16-,IL-4,,,,,,,,73.276
CD16+/CD11b+,IL-4,,,,,,,,75.754
CD1c+ B cells,IL-4,,,,,,,,56.024
CD7+/HLA-DR-,IL-2,,,,,30.304,,,
CD11b+/CD16-,IFNg,,,,24.027,,,,
CD16+/CD11b-,IFNg,,,,26.308,,,,
CD16+/CD11b+,IFNg,,,,35.158,,,,
CD4+T cells,IFNb,,,,22.544,26.572,,,
CD11b+/CD16-,IFNb,,,,33.224,29.892,,,
CD16+/CD11b-,IFNb,,,,30.211,,,,
CD11b-/CD16-,IFNb,,,,26.944,27.736,,,
CD16+/CD11b+,IFNb,,,,41.463,21.382,,,
CD11b+/CD16-,IFNa2,,,,25.044,,,,
CD16+/CD11b-,IFNa2,,,,25.329,,,,
CD11b-/CD16-,IFNa2,,,,22.224,,,,
CD16+/CD11b+,IFNa2,,,,33.399,,,,
Basophils,GM-CSF,29.051,,,,61.117,,,
CD11b+/CD16-,GM-CSF,47.022,,,,68.569,,,
CD16+/CD11b-,GM-CSF,55.013,,,,65.94,,,
CD11b+/CD16-,IL-4,,,,,,,,80.686
B Cells,IL-4,,,,,,,,46.761
CD8+T cells,IL-2,,,,,44.857,,,
CD4+T cells,IL-2,,,,,35.83,,,
