population,pSTAT4,pSTAT5,pSTAT1,pSTAT6,pCREB,pSTAT3,pErk1/2,pS6,pTBK1,pZap70/Syk,Ki67,p4E-BP1,pMAPKAPK2,pPLCg2,IkBa,pP38
pDCs,43.63437313278202,182.19506419770556,244.70070312656415,52.03481099747717,212.23879689363554,3217.1109874046433,468.75401610639545,1235.5195206044796,101.31668964409769,5.8322651714562825,354.6170620615474,196.56675699111946,23.58946932295423,29.46776406383495,28.735816853585494,195.23661259720836
CD8+T cells,11.738614416022461,58.084201186842726,112.37310942797347,11.007869208040875,91.0741165509745,2502.917402055102,218.52279445175265,447.9748968537056,25.64783848187444,1.5613241377679161,74.91818089078748,3.8203889318751862,7.638281165515574,11.094356763662875,8.400648595875298,49.77861906083681
Neutrophils,27.796698703658784,127.761620703162,340.30314521156015,13.500675681648733,127.42546827248285,4180.7633343125,1864.8708158200643,642.7887729212099,15.146163308035572,6.383804434311266,56.921758523614955,7.20680376685748,13.385552836557073,16.56255175147578,1.1319489096396373,41.527893678185634
CD1c+ B cells,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CD11b+/CD16-,95.88990036967903,244.82554808460605,1030.817210949825,49.10674286166562,630.2879272904557,5313.343558428274,1745.090005475843,1693.1360447796967,107.28355917214421,8.984515970678844,285.97237756624656,137.24911271151814,30.936034513019123,61.947792855234255,19.06738911947543,135.55515229757663
CD7+/HLA-DR-,12.486979485645591,52.51626289574766,14.700063872692414,15.082162462481918,129.7049329213546,3488.3002518393796,248.36899993766144,527.8762900385079,35.53676073272733,4.129171362683145,50.10968014369495,4.479688529537906,8.458319678948094,16.29279123692916,6.760722723153338,43.66724755187704
Basophils,28.06710438257278,163.1861791391259,237.35002577893482,25.034279023650726,261.77599515029397,4401.089406933016,462.87394815458345,563.7975518024257,76.45533109628971,2.6877644961454994,81.51068576574458,11.340005601958108,13.70908849812428,11.69043608398418,7.125903910824212,38.87925573711243
CD4+T cells,17.453486853454102,63.178181297923246,150.25282384371093,15.42199550154028,76.41265479738857,2361.0157221281106,233.3556598174545,453.4863027863132,32.61546526859274,1.87056680130913,106.85531274671062,6.215850047523483,7.73010047875351,10.122163902360564,11.703313534614892,55.121957579098435
CD16+/CD11b-,63.75659401712423,237.16648685571613,1171.22647167942,44.58228537224896,448.6723371985662,4535.7765323607355,987.3782236759183,1320.0450470317937,119.64043179853587,9.330124665287556,184.28671958516094,60.19744854418295,21.611495529998507,94.0248789130399,4.536255840397649,152.97558473407753
B Cells,18.742370382754387,70.85252428823783,10.293913943582748,23.08446011223721,84.82798427820742,2333.6994844904852,188.05101112939866,347.57849438463796,64.22568697878215,3.6239629885459648,90.31274727029181,24.36100867944704,8.618547794970763,12.115310251460354,8.653564503007539,87.90337878406231
CD4+/CD8+,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CD11b-/CD16-,53.79163751981405,165.13282329521633,400.1500590729494,41.95031852367223,367.00688010932805,3443.548607979634,981.0091793970589,1275.210776099162,85.2831727263893,6.560125727874251,471.6130105628515,234.4939750099305,20.984580408039,36.81874377719906,30.222957956756183,137.80950595081555
CD16+/CD11b+,143.52592641456266,390.12276192646675,1467.3348807646864,67.58275363133453,853.8362076854023,9662.491380046129,2199.7531370669662,2687.7167696003007,227.02357474202745,15.648870743892225,284.5868054742539,108.39465927564177,42.374495373632,159.1600216359622,9.947077782996947,194.3047649268992
